Designator,Mid X,Mid Y,Rotation,Layer
C1,161.38882,-77.07349,135.0,top
C10,118.05882,-70.97349,90.0,top
C11,120.13882,-70.97349,90.0,top
C12,122.18882,-70.97349,90.0,top
C13,138.08882,-79.22349,90.0,top
C14,138.08882,-70.27349,270.0,top
C16,121.13882,-77.67349,0.0,top
C17,95.05,-68.7,180.0,top
C18,128.1375,-84.25,270.0,top
C19,131.0875,-86.7,180.0,top
C2,159.93882,-78.52349,135.0,top
C20,98.98882,-74.18349,0.0,top
C22,150.99882,-101.33349,0.0,top
C23,150.99882,-103.38349,0.0,top
C24,106.0,-68.9,180.0,top
C25,211.05,-82.588,270.0,top
C26,213.55,-83.188,0.0,top
C27,208.6,-82.088,180.0,top
C28,213.55,-81.688,0.0,top
C29,205.85,-73.388,180.0,top
C3,158.48882,-79.97349,135.0,top
C30,205.85,-74.938,180.0,top
C34,128.0875,-89.5,270.0,top
C35,131.0375,-91.85,180.0,top
C36,188.65,-90.65,0.0,top
C37,93.11382,-97.32349,180.0,top
C38,134.9875,-86.7125,0.0,top
C39,134.0375,-91.65,270.0,top
C4,157.03882,-81.42349,135.0,top
C40,113.18882,-80.92349,90.0,top
C41,202.85,-85.7,90.0,top
C42,203.5,-91.3,180.0,top
C43,205.9,-78.25,180.0,top
C44,205.9,-76.75,0.0,top
C45,217.7,-75.35,180.0,top
C5,164.53882,-73.97349,135.0,top
C6,166.68882,-71.92349,45.0,top
C7,171.78882,-71.02349,45.0,top
C8,173.23882,-72.47349,45.0,top
C9,116.259193,-93.040475,0.0,top
D1,118.009193,-100.590475,0.0,top
D2,182.63882,-78.65,90.0,top
D3,82.46382,-84.22349,180.0,top
D5,82.46382,-81.82349,180.0,top
D6,88.7,-91.0,270.0,top
F1,111.45,-69.1,0.0,top
IC1,113.224193,-97.860475,270.0,top
IC2,99.13882,-80.17349,180.0,top
IC3,211.3,-77.15,180.0,top
IC4,94.63882,-100.57349,0.0,top
IC5,169.622275,-87.317751,225.0,top
IC7,109.93882,-82.47349,270.0,top
J1,106.724193,-109.660475,0.0,top
J2,156.394193,-69.050475,0.0,top
J3,222.494193,-75.370475,180.0,top
J4,83.73882,-74.72349,90.0,top
J5,83.754193,-99.620475,90.0,top
J6,156.80382,-100.12349,0.0,top
J7,222.494193,-99.610475,180.0,top
L1,130.23882,-74.72349,0.0,top
L2,92.98882,-81.27349,0.0,top
L5,134.3875,-83.4125,0.0,top
L9,134.4375,-88.7625,0.0,top
Q1,92.12882,-84.07349,0.0,top
Q2,93.48882,-89.42349,0.0,top
R1,114.209193,-103.590475,270.0,top
R10,101.00882,-76.20349,180.0,top
R11,97.15882,-76.20349,180.0,top
R12,96.98882,-84.52349,180.0,top
R13,96.06382,-96.47349,90.0,top
R14,178.93882,-77.62349,180.0,top
R16,165.08882,-104.42349,180.0,top
R17,165.08882,-102.37349,0.0,top
R18,100.99882,-84.54349,180.0,top
R19,205.7,-98.0,180.0,top
R2,117.959193,-95.140475,180.0,top
R20,126.0375,-90.65,270.0,top
R21,131.0875,-93.9,180.0,top
R22,198.75,-97.95,180.0,top
R23,114.03882,-83.87349,0.0,top
R24,150.58882,-92.12349,0.0,top
R25,91.63882,-105.77349,90.0,top
R26,93.68882,-104.67349,270.0,top
R27,105.83882,-81.47349,180.0,top
R28,95.63882,-104.67349,270.0,top
R29,97.66382,-105.72349,90.0,top
R3,117.959193,-98.540475,0.0,top
R30,105.83882,-83.47349,180.0,top
R31,105.18882,-85.47349,0.0,top
R32,104.88882,-78.52349,90.0,top
R36,93.2,-75.85,90.0,top
R37,87.9,-104.75,270.0,top
R38,110.9,-74.05,270.0,top
R4,111.309193,-102.690475,0.0,top
R5,117.13882,-75.92349,180.0,top
R6,117.13882,-73.97349,180.0,top
R7,121.33882,-67.92349,180.0,top
R8,89.05,-74.35,90.0,top
R9,81.615947,-87.256505,270.0,top
S1,197.15,-90.65,180.0,top
S2,202.85,-81.8,270.0,top
SW2,149.654193,-87.180475,90.0,top
SW3,202.2,-103.95,0.0,top
U1,121.13882,-74.72349,0.0,top
U2,130.7875,-84.25,0.0,top
U3,130.7875,-89.4,0.0,top
U4,151.43382,-106.04849,180.0,top
U5,103.97632,-91.34849,90.0,top
U6,106.694193,-101.232975,270.0,top
